scenario,bus,Pd,Qd,Pg,Qg,Vm,Va,PQ,PV,REF,mp_droop,mq_droop,frequency_deadband,voltage_deadband
0,0,108.0,22.0,184.37420142215376,-32.43354771650417,1.0989476410679258,0.0,0.0,1.0,0.0,0.04852065657276175,0.02720759430467553,0.006,0.001
0,1,97.0,20.0,184.37420142259714,27.221199562583237,1.1025554401550695,-0.10891439935255676,0.0,1.0,0.0,0.04852065657276175,0.02720759430467553,0.006,0.001
0,2,180.0,37.0,0.0,0.0,1.073715550955788,0.5353056059971948,1.0,0.0,0.0,0.0,0.0,0.006,0.001
0,3,74.0,15.0,0.0,0.0,1.073129031672383,-2.6111328300717958,1.0,0.0,0.0,0.0,0.0,0.006,0.001
0,4,71.0,14.000000000000002,0.0,0.0,1.0905818284547903,-2.7667161499278734,1.0,0.0,0.0,0.0,0.0,0.006,0.001
0,5,136.0,28.000000000000004,0.0,0.0,1.091496937745196,-5.133265629564903,1.0,0.0,0.0,0.0,0.0,0.006,0.001
0,6,125.0,25.0,204.77170076402794,59.47924404076241,1.1052983604512774,-3.5837922105289977,0.0,1.0,0.0,0.04852065657276175,0.02720759430467553,0.006,0.001
0,7,171.0,35.0,0.0,0.0,1.0748216440115117,-5.674319720523101,1.0,0.0,0.0,0.0,0.0,0.006,0.001
0,8,175.0,36.0,0.0,0.0,1.0798235484582432,-1.0585492920152149,1.0,0.0,0.0,0.0,0.0,0.006,0.001
0,9,195.0,40.0,0.0,0.0,1.107091782982655,-2.781819235540695,1.0,0.0,0.0,0.0,0.0,0.006,0.001
0,10,0.0,0.0,0.0,0.0,1.0656812781839253,3.6580733921488218,1.0,0.0,0.0,0.0,0.0,0.006,0.001
0,11,0.0,0.0,0.0,0.0,1.071004393841537,4.30838605379202,1.0,0.0,0.0,0.0,0.0,0.006,0.001
0,12,265.0,54.0,236.6762338999485,170.00557271201464,1.091568053701761,5.979016732862675,0.0,0.0,1.0,0.04852065657276175,0.02720759430467553,0.006,0.001
0,13,194.0,39.0,0.0,-46.7653282172818,1.0560608820704434,7.198875012901652,0.0,1.0,0.0,0.04852065657276175,0.02720759430467553,0.006,0.001
0,14,317.0,64.0,167.9355040707493,95.5147252566849,1.0996076506668853,14.619073960906064,0.0,1.0,0.0,0.04852065657276175,0.02720759430467553,0.006,0.001
0,15,100.0,20.0,155.00000154992944,74.54652150669898,1.0938967315990011,13.975960241328494,0.0,1.0,0.0,0.04852065657276175,0.02720759430467553,0.006,0.001
0,16,0.0,0.0,0.0,0.0,1.1127574852366178,17.771494824404243,1.0,0.0,0.0,0.0,0.0,0.006,0.001
0,17,333.0,68.0,400.00000399985913,83.24515208226083,1.1197199131202202,18.93155416942068,0.0,1.0,0.0,0.04852065657276175,0.02720759430467553,0.006,0.001
0,18,181.0,37.0,0.0,0.0,1.082787183997907,13.02761462673692,1.0,0.0,0.0,0.0,0.0,0.006,0.001
0,19,128.0,26.0,0.0,0.0,1.0822671387056753,13.927482408292889,1.0,0.0,0.0,0.0,0.0,0.006,0.001
0,20,0.0,0.0,400.00000399985885,47.93090202888072,1.12254962041405,19.58769721658419,0.0,1.0,0.0,0.04852065657276175,0.02720759430467553,0.006,0.001
0,21,0.0,0.0,300.00000599970434,9.293855596104537,1.139281002479116,24.37328827087549,0.0,1.0,0.0,0.04852065657276175,0.02720759430467553,0.006,0.001
0,22,0.0,0.0,660.000006599745,-37.00225341505458,1.0850300474113015,15.084466926591176,0.0,1.0,0.0,0.04852065657276175,0.02720759430467553,0.006,0.001
0,23,0.0,0.0,0.0,0.0,1.0657205733030641,9.47419090539276,1.0,0.0,0.0,0.0,0.0,0.006,0.001
